fips,poptot,whitenh,pwhitenh,blacknh,pblacknh,mhi,medyrblt,povstat,povbelow,ppov
42003453002,3838,3715,96.79520584,69,1.79781136,41840,1972,3828,340,8.88
42003454000,415,389,93.73493976,22,5.301204819,27321,1939,420,10,2.38
42003455000,1551,1512,97.48549323,14,0.902643456,46574,1946,1545,40,2.59
42003456001,3082,2986,96.88513952,36,1.16807268,58261,1965,3041,117,3.85
42003456003,4169,3980,95.46653874,94,2.254737347,53482,1978,4086,106,2.59
42003456004,5020,4509,89.82071713,297,5.916334661,51797,1979,4066,244,6
42003457100,1580,1491,94.36708861,60,3.797468354,28702,1955,1510,164,10.86
42003457200,3761,3512,93.37942037,173,4.599840468,36587,1952,3791,248,6.54
42003458000,5265,5154,97.89173789,39,0.740740741,41989,1964,5246,337,6.42
42003459101,1779,1665,93.59190556,79,4.440697021,41602,1959,1734,226,13.03
42003459102,5096,4930,96.74254317,52,1.020408163,71083,1976,4823,94,1.95
42003459201,5414,5047,93.22127817,99,1.828592538,46442,1982,5408,471,8.71
42003459202,738,706,95.66395664,12,1.62601626,46579,1968,739,25,3.38
42003460001,4176,4120,98.65900383,13,0.311302682,43281,1959,4019,109,2.71
42003460002,3328,3262,98.01682692,25,0.751201923,52092,1972,3250,167,5.14
42003461000,1232,1189,96.50974026,15,1.217532468,30625,1948,1229,119,9.68
42003462100,2637,2282,86.53773227,304,11.5282518,30020,1947,2710,408,15.06
42003462600,4069,3766,92.55345294,230,5.65249447,29367,1939,3930,477,12.14
42003463900,2892,2652,91.70124481,159,5.497925311,27158,1939,2839,472,16.63
42003464300,3712,3525,94.96228448,114,3.07112069,35308,1939,3647,299,8.2
42003464400,3730,2788,74.74530831,763,20.45576408,18114,1939,3705,1181,31.88
42003465600,2826,2636,93.27671621,109,3.857041755,28915,1950,2803,255,9.1
42003465800,3880,3740,96.39175258,74,1.907216495,41463,1939,3862,207,5.36
42003466000,468,447,95.51282051,0,0,83264,1955,469,6,1.28
42003467000,464,458,98.70689655,3,0.646551724,87500,1943,467,27,5.78
42003468700,1984,1890,95.26209677,66,3.326612903,39914,1939,1964,122,6.21
42003468800,2365,2190,92.60042283,99,4.186046512,32289,1939,2378,254,10.68
42003468900,4040,3525,87.25247525,295,7.301980198,31273,1952,4031,583,14.46
42003469000,4719,4516,95.69824115,25,0.529773257,54159,1956,4719,134,2.84
42003470300,3805,3650,95.92641261,42,1.103810775,51168,1959,3496,164,4.69
42003470400,3461,3382,97.71742271,15,0.433400751,48544,1955,3441,178,5.17
42003470500,6643,5428,81.71007075,95,1.430076773,47270,1966,6643,511,7.69
42003470600,3379,3246,96.06392424,46,1.361349512,33385,1944,3373,366,10.85
42003471000,1225,1193,97.3877551,12,0.979591837,35000,1939,1219,119,9.76
42003472100,2755,2578,93.5753176,42,1.524500907,37500,1939,2782,181,6.51
42003472200,2390,2312,96.73640167,22,0.920502092,39602,1939,2355,173,7.35
42003472300,2203,2080,94.41670449,32,1.452564685,35404,1939,2290,326,14.24
42003472400,1957,1900,97.08737864,2,0.102197241,44667,1939,1864,71,3.81
42003473100,4964,4751,95.70910556,37,0.74536664,51779,1944,4964,210,4.23
42003473200,3432,3230,94.11421911,25,0.728438228,41938,1947,3428,183,5.34
42003473300,5477,5322,97.16998357,26,0.474712434,63403,1950,5299,162,3.06
42003473401,3768,3568,94.69214437,19,0.504246285,55075,1943,3756,177,4.71
42003473402,3681,3495,94.94702526,21,0.570497148,74076,1955,3681,148,4.02
42003473500,3619,3481,96.18679193,24,0.663166621,84341,1941,3493,122,3.49
42003473601,3839,3667,95.51966658,34,0.885647304,88914,1952,3486,76,2.18
42003473602,4237,4055,95.70450791,14,0.330422469,63162,1958,4237,56,1.32
42003474101,3800,3541,93.18421053,42,1.105263158,73083,1965,3800,135,3.55
42003474102,3502,3320,94.80296973,14,0.399771559,98020,1964,3502,101,2.88
42003474201,2630,2494,94.82889734,21,0.798479087,90605,1971,2630,43,1.63
42003474202,5368,5057,94.20640835,32,0.596125186,92900,1972,4946,80,1.62
42003474203,4753,4414,92.86766253,23,0.483904902,84089,1968,4753,185,3.89
42003475101,5037,4782,94.93746278,77,1.528687711,41688,1964,4752,204,4.29
42003475102,1909,1840,96.38554217,33,1.728653745,59183,1957,2051,111,5.41
42003475200,5080,4964,97.71653543,25,0.492125984,61217,1957,5080,152,2.99
42003475301,4590,4406,95.9912854,98,2.135076253,41330,1961,4562,262,5.74
42003475303,4291,4202,97.9258914,20,0.46609182,66524,1968,4291,56,1.31
